gene_id	gene_symbol	mus48	mus47	mus54	mus28	mus52	mus38	mus51	mus39	mus24	mus42	mus57	mus08	mus32	mus23	mus45	mus15	mus36	mus44	mus41	mus46	mus49	mus35	mus05	mus43	mus53	mus12	mus04	mus02	mus01	mus40	mus09	mus58	mus20	mus11	mus50	mus25	mus34	mus21	mus59	mus22	mus03	mus07	mus55	mus29	mus27	mus06	mus10	mus17	mus16	mus31	mus13	mus56	mus37	mus60	mus30	mus18	mus14	mus26	mus33	mus19
66841	ETFDH	1	6	3	5	2	62	2	74	49	47	5	14	89	1	61	11	96	69	93	0	12	78	34	79	0	59	27	1	44	107	25	5	23	61	1	41	107	7	5	1	16	23	2	32	40	57	29	70	27	76	4	8	69	1	21	17	14	4	81	41
93747	ECHS1	2	0	3	39	0	56	2	72	17	56	5	8	50	105	100	44	102	85	75	3	4	78	20	91	2	18	73	1	9	72	14	6	32	16	4	5	126	78	1	7	42	30	0	13	7	37	81	12	0	47	22	5	79	6	5	3	11	26	63	15
97212	HADHA	7	4	2	49	2	82	0	70	3	150	0	1	108	23	79	37	74	75	101	0	7	94	74	53	6	14	7	1	8	51	5	1	11	64	0	23	63	4	3	11	1	20	10	32	5	0	4	29	30	97	6	2	63	1	0	2	18	7	92	6
110842	ETFA	0	4	2	3	2	59	3	78	35	64	6	20	88	32	63	2	69	45	87	3	2	98	15	56	3	18	66	14	73	58	64	2	28	11	5	61	67	16	2	21	11	38	0	30	4	24	3	0	3	59	0	5	48	5	60	22	41	0	107	13
11409	ACADS	5	2	2	4	1	74	4	101	40	96	4	39	103	125	94	26	90	66	94	0	7	92	17	129	3	19	28	22	61	60	2	12	23	0	1	48	68	110	3	37	51	77	3	25	7	59	1	33	9	90	16	5	73	5	28	0	13	58	69	9
11364	ACADM	5	2	6	120	4	64	7	64	1	94	0	2	62	10	60	24	42	60	48	1	1	84	33	67	6	10	13	19	65	54	17	5	55	3	8	14	68	12	2	3	12	7	3	36	37	0	47	16	49	132	75	4	87	0	45	13	10	13	89	13
15107	HADH	7	2	2	5	5	90	6	76	27	69	12	15	84	10	146	107	98	72	83	6	1	55	17	93	1	28	62	7	27	71	23	2	2	27	2	12	92	10	1	26	1	22	0	71	14	5	25	40	15	89	8	2	74	4	42	40	5	18	81	13
11363	ACADL	1	5	4	2	3	86	1	86	28	105	4	59	113	0	85	22	68	72	69	3	2	59	6	73	1	1	65	20	2	102	34	0	8	10	5	5	65	23	1	19	106	18	4	31	18	1	14	79	2	58	4	8	57	2	13	41	16	8	64	64
26922	MECR	1	2	5	50	0	66	3	75	16	76	1	18	53	1	71	2	68	78	85	4	10	103	44	93	1	41	9	22	9	44	6	5	5	12	8	46	65	50	0	17	9	11	0	2	92	15	20	12	11	84	26	0	42	2	8	16	64	36	66	24
223722	MCAT	3	2	4	78	1	60	0	80	75	80	2	35	84	18	54	6	36	81	62	4	0	134	62	88	0	1	44	5	64	58	4	0	110	20	7	25	53	4	3	44	3	22	5	1	32	2	47	7	7	71	1	1	88	2	10	22	46	61	71	15
13358	SLC25A1	3	2	2	6	4	76	2	99	16	117	6	37	88	19	80	28	75	56	88	4	2	69	13	74	0	29	7	4	16	73	3	3	41	7	2	22	109	50	5	5	33	22	0	15	51	43	35	53	7	107	29	4	94	1	29	35	26	11	47	43
51798	ECH1	1	1	5	10	3	86	1	65	3	67	2	18	77	20	63	5	104	122	82	2	4	84	13	56	5	1	5	69	60	61	26	1	10	39	5	18	89	1	5	2	1	6	6	22	7	17	79	93	7	113	2	1	57	7	11	18	15	30	91	25
66885	ACADSB	2	4	7	22	4	88	1	39	4	105	4	22	128	22	102	3	100	60	84	0	1	85	4	120	3	23	5	31	12	74	13	1	29	27	6	66	92	1	6	0	14	20	1	63	8	6	6	48	28	72	57	1	90	3	52	26	13	29	90	5
11370	ACADVL	0	2	2	24	1	105	1	104	23	66	2	10	66	33	70	1	113	39	99	1	3	75	0	41	5	1	19	2	14	61	11	1	0	14	4	0	70	28	3	2	69	54	3	25	34	57	16	0	33	53	19	2	38	11	1	41	11	11	112	8
12908	CRAT	2	3	0	18	4	43	1	96	21	64	0	45	72	57	138	53	93	112	127	5	0	112	4	74	2	23	6	8	12	72	7	2	14	5	2	31	43	14	2	19	32	14	0	140	25	32	53	15	47	123	0	1	92	2	18	5	16	34	73	8
110826	ETFB	1	1	3	18	0	52	0	86	41	88	4	4	45	43	65	16	67	124	74	4	4	63	24	100	11	63	1	11	20	58	44	6	8	25	3	28	74	2	1	13	21	13	11	38	113	2	5	8	0	60	93	3	99	1	9	13	14	53	70	5
257633	ACSF3	2	1	5	45	5	55	0	97	69	59	0	31	68	46	73	53	91	79	51	7	3	79	1	55	0	20	7	22	59	56	1	6	3	56	5	68	70	54	3	52	21	31	1	10	8	18	75	54	45	96	0	1	75	1	41	17	17	50	104	12
234309	CBR4	0	1	5	27	0	58	1	45	20	91	1	42	80	31	100	88	93	95	111	1	2	68	5	88	4	25	17	0	15	71	34	3	29	8	4	23	61	19	0	8	18	7	2	42	11	14	27	14	4	83	17	9	66	2	13	48	5	203	62	27
68917	HINT2	4	5	0	0	1	97	0	67	23	83	11	12	79	20	32	43	64	88	116	0	3	64	19	69	2	20	0	37	68	53	40	1	40	20	0	12	43	10	0	19	25	39	6	17	27	23	12	16	12	115	2	6	41	6	46	0	29	5	44	0
67460	DECR1	0	10	2	45	5	55	6	68	10	67	1	18	77	74	84	6	53	45	49	8	4	104	31	64	1	13	7	0	26	78	35	0	23	1	0	17	66	60	0	48	31	44	6	46	16	30	23	0	20	47	42	3	116	2	0	1	21	10	99	11
71985	ACAD10	4	5	2	23	3	111	3	101	25	99	0	33	114	36	96	29	62	56	105	6	0	95	39	95	3	187	16	9	20	88	4	9	19	34	0	33	110	72	5	6	6	50	2	1	12	1	27	4	31	65	10	2	55	1	6	51	9	5	77	67
75778	THEM4	0	13	2	26	1	61	7	73	18	31	3	41	57	29	82	0	54	90	88	3	1	70	17	53	3	31	57	22	15	88	0	0	13	70	1	7	84	8	1	1	11	7	2	12	3	11	60	48	12	51	15	5	90	2	24	31	14	4	30	47
23986	ECI2	4	3	0	36	3	74	2	80	0	77	0	12	111	19	70	90	63	65	80	8	1	100	16	82	8	41	40	0	68	52	9	2	31	30	0	14	44	73	1	9	11	14	3	13	18	12	0	144	5	43	8	0	69	7	23	57	10	8	71	82
67452	PNPLA8	3	5	2	31	2	71	1	88	18	77	1	11	133	6	69	104	84	92	96	4	2	63	19	55	6	15	83	45	23	131	7	4	56	18	15	58	40	1	2	30	44	4	1	2	3	136	8	31	0	59	12	7	67	2	6	2	2	5	76	21
56690	MLYCD	7	0	8	6	6	70	5	60	12	57	1	46	58	0	81	28	65	58	99	5	4	77	50	75	0	16	36	29	11	64	17	1	11	38	0	45	62	20	3	24	6	6	0	90	37	30	12	11	4	52	4	3	100	7	40	21	21	19	104	17
68971	TAMM41	3	3	0	3	1	53	3	101	0	87	4	4	99	1	65	12	113	56	74	5	5	97	1	83	4	15	70	144	1	91	22	3	9	55	0	24	84	24	4	34	79	0	2	16	49	1	7	18	132	100	21	1	115	2	28	16	18	8	68	8
117147	ACSM1	10	4	2	42	3	43	1	43	15	56	6	7	75	44	128	53	47	36	42	1	1	88	8	73	0	68	17	19	21	46	11	5	27	31	1	16	91	7	5	21	15	19	2	5	20	5	2	31	8	91	2	5	53	5	7	9	52	51	83	17
74147	EHHADH	4	1	3	9	3	42	7	90	60	102	0	16	113	41	70	0	70	61	81	0	0	76	1	78	0	21	0	0	1	97	19	2	11	3	3	12	53	11	4	15	11	52	3	39	34	40	22	5	4	93	19	0	77	0	0	10	6	50	50	26
66834	ACOT13	5	2	0	33	7	74	1	65	0	98	4	0	106	8	106	9	83	85	74	7	1	88	54	101	1	33	2	19	6	45	40	0	11	3	2	59	93	52	5	26	8	50	3	8	3	11	75	39	18	76	5	1	112	3	62	23	43	44	88	8
69076	TRIAP1	0	0	1	19	4	50	0	73	38	129	2	36	115	17	65	20	39	111	72	3	4	130	1	65	1	22	5	14	26	36	25	3	73	18	0	20	88	74	3	29	89	30	4	20	32	14	0	72	63	88	37	4	78	4	43	0	19	31	67	1
20216	ACSM3	2	1	3	54	0	113	2	42	0	59	0	24	99	23	55	8	97	104	115	3	2	84	76	89	3	63	6	85	10	75	22	2	25	12	3	7	123	11	1	10	34	3	3	62	32	2	13	48	9	108	88	4	37	1	15	65	34	19	73	8
13177	ECI1	2	1	1	45	4	68	6	73	5	104	1	0	77	61	86	46	61	39	47	6	0	102	4	67	2	32	1	7	39	72	54	1	67	4	1	12	82	7	5	13	25	15	4	60	71	23	70	5	17	93	11	1	88	0	32	37	69	32	70	7
52665	ECHDC1	2	7	1	33	3	127	3	59	22	57	4	29	112	57	42	131	82	98	65	1	9	91	104	115	5	19	21	13	7	88	4	2	16	83	3	12	113	10	5	9	39	3	1	77	17	25	61	32	7	77	34	0	50	8	7	83	6	35	74	26
15488	HSD17B4	1	4	2	3	2	69	6	71	6	47	3	3	67	39	51	0	60	105	63	3	1	33	16	52	3	8	17	32	41	84	16	1	14	5	11	15	96	20	0	7	9	10	1	37	5	3	2	180	8	92	4	3	61	2	104	85	68	27	46	1
264895	ACSF2	3	4	3	27	4	78	3	76	19	125	4	41	94	3	67	5	55	44	91	13	0	40	48	86	3	6	27	80	24	57	26	2	4	73	1	20	47	31	8	95	95	46	1	2	7	11	34	125	6	85	17	1	73	0	1	67	6	67	83	12
71147	OXSM	1	1	2	107	2	72	0	76	30	97	3	74	85	102	103	1	87	115	76	6	2	63	50	81	3	1	20	28	16	82	20	3	0	32	3	23	96	189	5	9	8	24	0	47	3	36	29	8	5	122	14	2	86	7	0	0	2	5	90	0
56185	HAO2	7	4	3	77	3	51	4	91	36	79	4	7	106	27	68	12	112	68	103	5	1	79	18	88	3	1	4	10	49	80	10	1	0	0	2	50	50	25	6	49	2	52	4	3	53	31	41	15	6	69	35	4	77	1	51	1	75	10	74	7
235674	ACAA1	4	2	2	17	5	104	3	98	13	94	7	1	46	48	76	3	76	75	65	0	8	51	31	72	3	13	9	44	1	55	26	4	13	32	0	24	115	1	2	9	26	32	0	25	1	0	9	10	16	108	26	3	91	0	20	59	0	15	72	11
74114	CROT	1	6	2	11	5	47	3	63	59	67	1	78	68	0	106	18	78	102	98	0	6	103	44	88	1	1	10	13	4	56	47	4	2	21	3	17	90	1	1	13	46	17	0	8	4	29	2	23	18	59	30	2	41	1	23	5	57	0	134	40
18777	LYPLA1	4	2	1	23	1	105	2	69	4	121	1	47	116	31	80	8	120	84	85	7	1	80	19	77	6	15	8	22	9	84	20	6	72	9	2	1	72	37	4	39	12	29	1	2	16	27	9	44	3	56	2	5	76	8	35	14	1	18	105	79
171210	ACOT2	3	1	4	9	2	96	5	73	14	60	1	12	46	10	100	3	97	82	93	3	2	76	15	49	10	8	7	8	16	121	50	6	1	6	3	17	114	55	9	6	12	20	1	60	35	28	5	24	10	74	15	0	100	3	50	42	33	0	105	22
102632	ACAD11	2	3	3	7	2	92	3	86	0	101	1	91	59	46	88	3	63	55	96	1	4	88	71	88	0	61	11	24	18	48	9	1	7	7	3	24	31	1	0	4	0	1	2	1	48	22	31	3	7	97	2	4	127	1	0	110	57	106	64	20
225655	PRELID3A	1	0	1	27	0	72	1	61	2	145	5	3	81	23	48	20	76	60	79	3	2	108	28	84	5	51	0	18	28	134	44	3	2	1	3	63	115	0	5	13	37	70	5	10	0	106	3	14	31	70	7	6	67	0	9	28	48	6	58	12
66586	CRLS1	3	4	5	126	4	77	0	46	27	96	1	25	115	13	68	14	66	105	112	2	4	37	0	72	9	12	49	13	2	92	68	1	38	38	5	27	88	31	4	20	14	98	4	56	3	33	89	38	31	95	16	5	72	2	19	9	0	65	109	26
66494	PRELID1	11	3	5	35	3	99	1	92	51	61	2	63	97	39	78	92	58	67	108	1	0	91	17	99	3	14	49	58	91	85	46	3	31	16	2	25	66	0	2	0	40	3	0	28	10	22	1	5	44	76	24	3	85	1	21	84	6	20	41	13
52585	DHRS1	2	2	5	5	0	85	3	88	8	107	6	28	60	6	93	13	88	38	59	3	1	89	4	109	9	6	14	23	5	76	46	1	4	28	6	50	81	15	2	5	8	0	0	9	19	55	64	60	6	72	2	4	111	1	35	14	3	18	43	49
16922	PHYH	2	2	5	16	7	64	7	79	7	52	1	5	119	48	78	0	72	92	64	0	3	85	4	130	1	16	41	20	1	46	36	3	25	58	4	31	27	1	3	24	10	55	8	0	1	13	8	19	11	121	23	3	63	2	2	47	50	16	60	29
216739	ACSL6	0	3	3	17	9	71	7	75	26	91	3	31	69	26	135	96	60	57	122	3	1	77	23	104	1	5	15	3	0	93	33	2	55	22	1	33	82	7	2	37	15	38	1	174	5	0	2	52	6	82	28	3	55	1	11	25	41	72	100	64
56360	ACOT9	1	3	5	21	1	62	1	135	33	102	2	10	66	25	63	92	56	79	92	6	0	57	29	51	3	51	16	8	0	51	21	2	19	28	1	19	40	8	0	10	145	5	2	24	48	21	0	7	50	61	9	5	84	17	38	29	1	44	89	1
