sample_id	diet	weight	gender	age_months
mus01	lean	24.02	F	19
mus02	lean	21.79	F	17
mus03	lean	23.9	F	20
mus04	lean	11.15	M	10
mus05	lean	17.73	F	15
mus06	lean	12.89	M	12
mus07	lean	20.12	F	16
mus08	lean	23.04	F	18
mus09	lean	22.84	F	19
mus10	lean	18.92	M	15
mus11	lean	20.98	F	17
mus12	lean	27.88	M	21
mus13	lean	19.76	F	17
mus14	lean	30.12	M	21
mus15	lean	14.77	F	15
mus16	lean	27.02	F	21
mus17	lean	18.57	F	17
mus18	lean	21.82	M	17
mus19	lean	18.24	F	17
mus20	lean	16.44	M	15
mus21	lean	15.92	F	14
mus22	lean	23.01	F	17
mus23	lean	24.8	F	19
mus24	lean	18.8	M	17
mus25	lean	22.31	F	18
mus26	lean	21.17	M	18
mus27	lean	10.62	F	10
mus28	lean	27.67	F	22
mus29	lean	20.73	F	17
mus30	lean	13.98	M	12
mus31	fat	15.67	F	14
mus32	fat	28.18	M	22
mus33	fat	29.5	M	22
mus34	fat	23.89	M	20
mus35	fat	21.61	F	18
mus36	fat	25.53	M	21
mus37	fat	23.64	F	20
mus38	fat	24.88	M	20
mus39	fat	29.72	M	22
mus40	fat	24.02	M	20
mus41	fat	17.49	F	15
mus42	fat	21.67	M	18
mus43	fat	30.21	F	22
mus44	fat	22.74	M	18
mus45	fat	19.89	M	18
mus46	fat	34.76	M	24
mus47	fat	15.46	F	14
mus48	fat	25.17	M	19
mus49	fat	28.24	F	19
mus50	fat	25.93	M	19
mus51	fat	23.75	M	18
mus52	fat	21.84	M	17
mus53	fat	26.6	F	20
mus54	fat	21.13	M	17
mus55	fat	24.2	M	19
mus56	fat	30.69	M	23
mus57	fat	23.99	F	18
mus58	fat	19.35	M	17
mus59	fat	26.37	F	22
mus60	fat	28.84	M	20
