diet	weight	gender	age_months
lean	24.02	F	19
lean	21.79	F	17
lean	23.9	F	20
lean	11.15	M	10
lean	17.73	F	15
lean	12.89	M	12
lean	20.12	F	16
lean	23.04	F	18
lean	22.84	F	19
lean	18.92	M	15
lean	20.98	F	17
lean	27.88	M	21
lean	19.76	F	17
lean	30.12	M	21
lean	14.77	F	15
lean	27.02	F	21
lean	18.57	F	17
lean	21.82	M	17
lean	18.24	F	17
lean	16.44	M	15
lean	15.92	F	14
lean	23.01	F	17
lean	24.8	F	19
lean	18.8	M	17
lean	22.31	F	18
lean	21.17	M	18
lean	10.62	F	10
lean	27.67	F	22
lean	20.73	F	17
lean	13.98	M	12
fat	15.67	F	14
fat	28.18	M	22
fat	29.5	M	22
fat	23.89	M	20
fat	21.61	F	18
fat	25.53	M	21
fat	23.64	F	20
fat	24.88	M	20
fat	29.72	M	22
fat	24.02	M	20
fat	17.49	F	15
fat	21.67	M	18
fat	30.21	F	22
fat	22.74	M	18
fat	19.89	M	18
fat	34.76	M	24
fat	15.46	F	14
fat	25.17	M	19
fat	28.24	F	19
fat	25.93	M	19
fat	23.75	M	18
fat	21.84	M	17
fat	26.6	F	20
fat	21.13	M	17
fat	24.2	M	19
fat	30.69	M	23
fat	23.99	F	18
fat	19.35	M	17
fat	26.37	F	22
fat	28.84	M	20
